"ET","CC","Priority","CI","OE","OW","NI","SI","RI","FI"
307.233,7,2,6,0,17623,15,0,0,6
299.915,4,2,4,99,331,0,0,3,3
412.922,6,2,9,84,118,3,2,1,9
18.571,4,2,3,0,17623,1,0,1,4
745.958,11,2,8,17,17,10,3,12,30
48.744,3,2,2,292,122,1,0,0,2
445.423,12,2,13,255,57,28,5,1,32
279.358,3,2,2,99,331,0,0,3,0
96.823,23,2,24,0,17623,231,0,0,22
279.347,4,2,3,99,331,0,0,3,3
293.129,3,2,2,99,331,0,0,3,0
216.262,21,2,20,0,17623,136,0,6,68
4.009,21,2,24,0,17623,136,3,3,68
279.344,3,2,2,99,331,0,0,3,0
265.494,3,2,2,4,2,1,0,0,2
318.146,25,1,23,0,17623,231,0,3,66
143.36,3,2,2,292,122,0,0,3,0
143.351,3,2,1,292,122,0,0,1,2
8.759,19,2,24,0,17623,136,0,1,34
1.814,3,2,24,0,17623,0,0,1,2
2.997,24,2,24,0,17623,153,9,6,108
644.847,15,2,21,18,104,78,0,1,26
434.526,4,2,3,99,331,1,0,1,4
390.2,3,2,2,375,249,0,0,1,2
44.704,25,2,24,0,17623,190,6,4,100
390.012,7,2,10,84,118,3,2,4,12
217.315,3,2,1,255,57,0,0,3,0
275.847,4,2,1,99,331,0,1,5,0
492.96,7,2,13,375,249,10,1,0,10
142.391,20,2,24,0,17623,136,2,1,51
136.408,20,2,23,0,1,153,0,1,36
109.001,17,2,23,0,6,120,0,0,16
130.496,8,2,24,0,17623,10,1,2,15
273.153,4,2,3,99,331,0,0,3,3
378.334,4,2,6,375,249,3,0,0,3
441.548,9,2,13,99,331,10,2,4,20
234.876,19,3,21,4,6,91,5,5,70
212.838,16,2,16,0,17623,78,2,1,39
214.52,24,2,25,0,17623,231,1,0,44
151.859,3,2,4,0,17623,1,0,0,2
56.75,3,2,3,0,17623,1,0,0,2
34.901,4,2,4,0,17623,3,0,0,3
126.355,21,2,25,0,17623,210,0,0,0
271.74,13,2,17,99,331,55,0,1,22
275.813,20,2,22,0,17623,153,0,1,36
662.022,9,2,11,0,56,10,6,0,20
342.511,4,2,1,138,92,0,0,3,3
240.29,21,2,23,138,92,190,0,0,20
338.295,3,2,2,375,249,1,0,0,2
331.169,3,2,1,84,118,0,0,1,2
