"ET","CC","Pr","CI","OE","OW","NI","SI","RI","FI"
162.9303,4,5,12,5649,1879,0,2,4,0
148.8667,3,3,11,5649,1879,0,0,3,0
572.3142,5,3,16,724,919,0,1,9,0
99.3092,3,3,9,1409,1477,0,0,3,0
183.3331,4,3,9,5649,1879,0,0,3,3
268.3969,3,3,9,160,92,0,0,3,0
261.6497,4,5,16,9379,3289,0,0,6,0
168.3658,4,3,12,5649,1879,0,0,6,0
429.1836,12,5,26,772,1428,15,9,6,36
84.4386,5,3,15,634,955,0,3,3,4
263.8997,3,5,15,9379,3289,0,0,3,0
110.6322,4,3,9,634,955,0,4,2,0
