"ET","CC","Pr","CI","OE","OW","NI","SI","RI","FI"
337.1133,4,5,4,3863,370,0,0,6,0
211.2697,3,5,4,294,73,0,0,3,0
185.345,4,5,6,56,10,0,0,3,3
162.6833,4,5,6,348,13,0,1,5,0
161.3928,3,5,6,98,50,0,1,2,0
38.765,6,5,13,7,1,0,1,9,5
881.3256,5,4,11,98,50,0,3,7,0
871.9431,6,4,8,3863,370,1,0,6,8
810.6511,4,4,10,222,76,0,3,3,0
573.855,6,4,8,348,13,0,4,11,0
332.8989,3,4,4,2615,293,0,0,3,0
332.8683,3,4,6,6378,106,0,1,2,0
332.6692,3,4,5,6378,106,0,0,3,0
240.6961,3,4,2,57002,161,0,0,3,0
212.2861,5,4,18,3863,370,0,1,9,0
162.4628,4,4,3,3863,370,0,0,6,0
564.1383,5,3,9,0,15804,0,0,10,0
549.5086,4,3,8,2249,67,0,1,5,0
212.1311,5,3,10,348,13,0,1,9,0
855.8753,5,2,11,98,50,0,0,10,0
832.4919,5,2,9,3863,370,0,0,10,0
564.2194,4,2,9,0,15804,0,0,6,0
158.8139,3,2,7,68,16,0,1,2,0
60.9661,3,4,5,5,1,0,0,1,2
484.4317,4,5,7,41,5,0,0,6,0
488.9169,4,5,9,572,19,0,0,6,0
519.0222,8,5,13,367,67,3,0,10,15
526.1742,5,5,11,199,31,0,3,7,0
2541.0822,7,5,15,850,157,1,5,5,10
2031.3011,7,5,15,0,1,3,2,4,12
1174.4719,4,5,7,199,31,0,0,6,0
711.6783,4,5,6,139,39,0,0,6,0
639.5347,4,5,7,294,73,0,1,5,0
550.1917,5,5,9,2615,293,0,1,9,0
548.0867,5,5,11,572,19,0,1,9,0
533.5825,4,5,8,572,19,0,1,5,0
2582.3942,4,4,11,0,15,0,2,4,0
2513.5331,4,4,13,0,15,0,1,5,0
2055.1414,3,4,8,850,157,0,0,3,0
1523.8131,4,4,7,850,157,0,0,6,0
736.9056,6,4,12,0,15804,0,0,10,5
700.3372,4,4,9,335,67,0,0,3,3
551.2408,3,4,5,2615,293,0,0,3,0
523.7267,3,4,5,572,19,0,0,3,0
516.6942,4,4,5,572,19,0,0,6,0
